eval_results_tag,Chat,Chat Hard,Safety,Reasoning
lr_3e-5-epochs_5-fold_0,0.757479355943043,0.375,0.40540540540540543,0.25589430894308945
lr_1e-6-epochs_2-fold_1,0.4831864803931843,0.5394736842105263,0.49594594594594593,0.7716648189209164
lr_2e-6-epochs_1-fold_1,0.5922046348024002,0.44298245614035087,0.44054054054054054,0.7565872135994087
lr_1e-6-epochs_3-fold_1,0.5114026000897509,0.5307017543859649,0.4797297297297297,0.7804231337767924
lr_5e-5-epochs_5-fold_0,0.8011849003469116,0.26973684210526316,0.4081081081081081,0.22045454545454546
lr_2e-6-epochs_2-fold_1,0.5972561475354772,0.4407894736842105,0.4797297297297297,0.7450757575757576
lr_5e-6-epochs_1-fold_1,0.7139175742527698,0.40131578947368424,0.48243243243243245,0.7727642276422764
lr_2e-6-epochs_3-fold_1,0.5857715892632094,0.43640350877192985,0.5135135135135135,0.7432834441980783
lr_1e-6-epochs_5-fold_1,0.5639435052842874,0.5087719298245614,0.5027027027027027,0.7848762010347375
lr_5e-6-epochs_2-fold_1,0.7916764075981952,0.3574561403508772,0.4945945945945946,0.7665188470066518
lr_1e-5-epochs_1-fold_1,0.7023319118291185,0.41228070175438597,0.48783783783783785,0.7773189209164819
lr_5e-6-epochs_3-fold_1,0.7475825695099437,0.4232456140350877,0.5432432432432432,0.7868810051736881
lr_1e-5-epochs_2-fold_1,0.6958736742256295,0.41228070175438597,0.4891891891891892,0.7896341463414634
lr_2e-6-epochs_5-fold_1,0.6388452226441053,0.4057017543859649,0.4743243243243243,0.7474963045084996
lr_2e-5-epochs_1-fold_1,0.7651384152780801,0.3530701754385965,0.4743243243243243,0.7331577974870659
lr_1e-5-epochs_3-fold_1,0.6676199343797109,0.40789473684210525,0.5243243243243243,0.7641352549889137
lr_5e-6-epochs_5-fold_1,0.7680082952429321,0.43201754385964913,0.5527027027027027,0.7838322246858832
lr_2e-5-epochs_2-fold_1,0.7641320762829144,0.35964912280701755,0.522972972972973,0.7554046563192904
lr_3e-5-epochs_1-fold_1,0.8060889555302964,0.30701754385964913,0.41621621621621624,0.3160753880266075
lr_2e-5-epochs_3-fold_1,0.7637286673599524,0.34210526315789475,0.49864864864864866,0.678409090909091
lr_1e-5-epochs_5-fold_1,0.659856411951384,0.4232456140350877,0.5162162162162162,0.7701404286770139
lr_3e-5-epochs_2-fold_1,0.8064349265466584,0.28728070175438597,0.39594594594594595,0.2158351810790835
lr_5e-5-epochs_1-fold_1,0.7520036088471842,0.30043859649122806,0.3945945945945946,0.28916297117516626
lr_3e-5-epochs_3-fold_1,0.8219125949572876,0.2916666666666667,0.39864864864864863,0.2234571322985957
lr_2e-5-epochs_5-fold_1,0.7771644349856639,0.36403508771929827,0.4918918918918919,0.7102180339985218
lr_5e-5-epochs_2-fold_1,0.7787065252149051,0.2675438596491228,0.37972972972972974,0.15183850702143384
lr_1e-6-epochs_1-fold_2,0.46871414329514893,0.5416666666666666,0.5054054054054054,0.7828436807095343
lr_5e-5-epochs_3-fold_1,0.7638411919138176,0.2741228070175439,0.40540540540540543,0.29386548410938657
lr_3e-5-epochs_5-fold_1,0.7927327948277669,0.34210526315789475,0.44324324324324327,0.5697524020694753
lr_1e-6-epochs_2-fold_2,0.5036706517153444,0.5285087719298246,0.49324324324324326,0.7858924611973391
lr_2e-6-epochs_1-fold_2,0.5717779013868399,0.4868421052631579,0.5067567567567568,0.7847283813747229
lr_1e-6-epochs_3-fold_2,0.5120119121515769,0.506578947368421,0.4851351351351351,0.7839800443458981
lr_5e-5-epochs_5-fold_1,0.8095940114096539,0.25877192982456143,0.4,0.22722653362897263
lr_2e-6-epochs_2-fold_2,0.6520740794483811,0.4649122807017544,0.5324324324324324,0.7876570583887657
lr_5e-6-epochs_1-fold_2,0.7828840412639295,0.42543859649122806,0.5337837837837838,0.7898096821877311
lr_2e-6-epochs_3-fold_2,0.7047372501283117,0.44956140350877194,0.5405405405405406,0.7871489283074649
lr_1e-6-epochs_5-fold_2,0.5838905817956097,0.4868421052631579,0.5054054054054054,0.7809312638580931
lr_5e-6-epochs_2-fold_2,0.7969163569722229,0.42105263157894735,0.5216216216216216,0.7957871396895787
lr_1e-5-epochs_1-fold_2,0.795518029456577,0.36403508771929827,0.4756756756756757,0.7861326681448634
lr_5e-6-epochs_3-fold_2,0.7969163569722229,0.41885964912280704,0.5351351351351351,0.7959072431633408
lr_1e-5-epochs_2-fold_2,0.8185781733267765,0.34868421052631576,0.5337837837837838,0.7820676274944567
lr_2e-6-epochs_5-fold_2,0.7227616682923944,0.42543859649122806,0.5581081081081081,0.7816796008869179
lr_2e-5-epochs_1-fold_2,0.7616649334526429,0.38377192982456143,0.4918918918918919,0.6633592017738359
lr_5e-5-epochs_1-fold_2,0.8007364816024034,0.2807017543859649,0.3932432432432432,0.2629711751662971
lr_3e-5-epochs_1-fold_2,0.6973529522412203,0.35526315789473684,0.4391891891891892,0.5424519586104952
lr_3e-5-epochs_2-fold_2,0.8372858002746272,0.3223684210526316,0.43648648648648647,0.46778455284552845
lr_3e-5-epochs_3-fold_2,0.8079565272302702,0.28289473684210525,0.4540540540540541,0.3492978566149298
lr_5e-5-epochs_2-fold_2,0.8005295707809674,0.2741228070175439,0.3864864864864865,0.1683111603843311
lr_1e-6-epochs_1-fold_3,0.4660995429151854,0.5504385964912281,0.5027027027027027,0.7857723577235772
lr_5e-5-epochs_3-fold_2,0.7910523161919809,0.2631578947368421,0.39594594594594595,0.1556079083518108
lr_3e-5-epochs_5-fold_2,0.7981450579215943,0.3048245614035088,0.45135135135135135,0.3409368070953437
lr_2e-5-epochs_5-fold_2,0.7906337920304402,0.375,0.5337837837837838,0.7437361419068736
lr_1e-6-epochs_2-fold_3,0.4950076046444762,0.5350877192982456,0.4905405405405405,0.7792867701404286
lr_2e-6-epochs_1-fold_3,0.5751993196127274,0.49122807017543857,0.5094594594594595,0.7875369549150038
lr_2e-6-epochs_2-fold_3,0.6438446717776327,0.45614035087719296,0.5256756756756756,0.783859940872136
lr_5e-5-epochs_5-fold_2,0.7979357958408237,0.2850877192982456,0.4,0.3005543237250554
lr_1e-6-epochs_3-fold_3,0.5267580030149862,0.506578947368421,0.4918918918918919,0.7905857354028086
lr_5e-6-epochs_1-fold_3,0.7829122563759435,0.4276315789473684,0.5337837837837838,0.7833518107908352
lr_2e-6-epochs_3-fold_3,0.6901980700863383,0.4451754385964912,0.55,0.781439393939394
lr_1e-6-epochs_5-fold_3,0.5577361806412086,0.49122807017543857,0.5027027027027027,0.7799150036954916
lr_5e-6-epochs_2-fold_3,0.7735740619818833,0.4232456140350877,0.5256756756756756,0.7787786400591278
lr_1e-5-epochs_1-fold_3,0.7884047981813345,0.37719298245614036,0.527027027027027,0.7138303769401331
lr_5e-6-epochs_3-fold_3,0.7648283849401168,0.4166666666666667,0.527027027027027,0.7711566888396157
lr_2e-6-epochs_5-fold_3,0.720352971051295,0.4407894736842105,0.5486486486486486,0.7922302291204729
lr_1e-5-epochs_2-fold_3,0.808801301119737,0.37280701754385964,0.518918918918919,0.7108370288248337
lr_2e-5-epochs_1-fold_3,0.8538722554085684,0.3399122807017544,0.4891891891891892,0.7838322246858832
lr_1e-5-epochs_3-fold_3,0.779547268374084,0.375,0.5432432432432432,0.7379804138950481
lr_5e-6-epochs_5-fold_3,0.753183941033103,0.42543859649122806,0.5324324324324324,0.7794068736141907
lr_2e-5-epochs_2-fold_3,0.8352700992365798,0.3333333333333333,0.5108108108108108,0.7768015521064302
lr_3e-5-epochs_1-fold_3,0.8056909209143847,0.3442982456140351,0.5243243243243243,0.42766075388026614
lr_2e-5-epochs_3-fold_3,0.8483118629766675,0.34868421052631576,0.5418918918918919,0.7766906873614191
lr_1e-5-epochs_5-fold_3,0.7779820014456885,0.39473684210526316,0.5418918918918919,0.7453898743532891
lr_3e-5-epochs_2-fold_3,0.8121847633020818,0.2807017543859649,0.46756756756756757,0.4282982261640798
lr_5e-5-epochs_1-fold_3,0.8003989079408074,0.2741228070175439,0.3932432432432432,0.21282335550628234
lr_3e-5-epochs_3-fold_3,0.8208558718335255,0.3048245614035088,0.40405405405405403,0.2358370288248337
lr_2e-5-epochs_5-fold_3,0.8241855909453674,0.3157894736842105,0.39864864864864863,0.3540465631929047
